,price,original_price,discount,review_count,category,official_store
0,85.0,167.0,49.0,4.0,0,1
1,80.0,145.0,45.0,4.6,0,1
2,190.0,312.9,39.0,4.1,0,0
3,110.0,192.82,43.0,3.6,0,0
4,122.0,152.0,20.0,3.9,0,1
5,190.0,232.0,18.0,4.3,0,1
6,83.0,96.0,14.0,4.1,0,1
7,29.0,38.0,24.0,4.5,0,1
8,105.0,156.45,33.0,4.3,0,0
9,35.0,51.0,31.0,4.4,0,1
10,120.0,148.0,19.0,4.2,0,1
11,54.0,76.0,29.0,3.8,0,1
12,34.0,45.0,24.0,4.6,0,1
13,15.0,364.80142676767673,42.066287878787875,4.3,0,1
14,35.0,45.0,22.0,4.5,0,1
15,81.99,196.41,58.0,4.5,0,0
16,46.0,51.0,10.0,3.9,0,1
17,124.0,158.0,22.0,3.6,0,0
18,100.0,192.82,48.0,4.1,0,0
19,319.0,548.32,42.0,4.1,0,0
20,59.0,62.0,5.0,4.1,0,1
21,202.0,275.0,27.0,4.4,0,1
22,149.0,250.0,40.0,3.9,0,0
23,69.0,70.0,1.0,4.5,0,1
24,17.0,364.80142676767673,42.066287878787875,4.2,0,1
25,159.0,184.0,14.0,4.4,0,1
26,89.0,125.0,29.0,3.8,0,1
27,76.0,83.0,8.0,4.5,0,1
28,184.0,213.0,14.0,4.2,0,1
29,49.99,59.99,17.0,4.5,0,0
30,121.0,148.0,18.0,4.4,0,1
32,187.0,220.0,15.0,4.5,0,1
33,315.0,599.0,47.0,4.8,0,0
34,44.0,45.0,2.0,3.8,0,1
35,135.0,200.0,33.0,4.2,0,0
36,110.0,219.99,50.0,4.5,0,0
37,142.56,359.0,60.0,3.8,0,0
38,120.0,241.38,50.0,4.2,0,0
39,199.99,299.99,33.0,4.0,0,0
40,197.0,274.0,28.0,0.0,0,1
42,149.86,369.0,59.0,0.0,0,0
43,189.0,364.80142676767673,42.066287878787875,0.0,0,0
44,178.0,198.0,10.0,0.0,0,1
45,315.0,400.0,21.0,0.0,0,1
46,76.0,83.0,8.0,0.0,0,1
47,69.0,120.0,43.0,0.0,0,0
50,99.0,128.0,23.0,0.0,0,1
52,210.0,355.0,41.0,4.5,0,1
53,299.0,505.11,41.0,4.3,0,0
54,56.0,364.80142676767673,42.066287878787875,5.0,0,1
55,29.0,85.0,66.0,1.7,0,1
56,118.0,120.0,2.0,4.5,0,0
57,42.0,364.80142676767673,42.066287878787875,4.3,0,1
58,65.0,120.0,46.0,4.3,0,1
59,199.0,299.0,33.0,0.0,0,0
60,183.0,212.0,14.0,4.5,0,1
61,112.0,364.80142676767673,42.066287878787875,4.4,0,1
62,26.0,29.0,10.0,4.8,0,1
63,109.41,189.99,42.0,4.4,0,0
64,236.0,341.21,31.0,4.4,0,1
65,15.0,364.80142676767673,42.066287878787875,4.2,0,1
66,185.0,205.0,10.0,4.5,0,0
67,249.0,399.0,38.0,4.1,0,1
68,49.9,126.0,60.0,3.5,0,1
69,139.0,364.80142676767673,42.066287878787875,4.4,0,1
70,59.99,364.80142676767673,42.066287878787875,4.3,0,0
71,195.0,379.95,49.0,4.1,0,0
72,66.0,364.80142676767673,42.066287878787875,4.1,0,1
74,55.0,55.08,1.0,3.0,0,1
75,115.0,199.0,42.0,4.4,0,0
76,97.0,364.80142676767673,42.066287878787875,0.0,0,0
77,175.0,200.0,13.0,5.0,0,0
78,149.0,299.0,50.0,4.5,0,0
79,53.0,364.80142676767673,42.066287878787875,4.2,0,1
80,49.0,55.0,11.0,4.1,0,1
81,225.0,400.0,44.0,3.9,0,0
82,35.0,39.0,10.0,4.7,0,1
83,280.0,364.80142676767673,42.066287878787875,4.5,0,0
84,105.0,144.0,27.0,4.4,0,1
85,56.0,64.8,14.0,4.5,0,1
86,103.0,127.0,19.0,4.3,0,1
87,37.0,69.0,46.0,4.3,0,1
88,136.0,190.0,28.0,4.2,0,1
89,99.0,128.0,23.0,5.0,0,1
90,112.0,364.80142676767673,42.066287878787875,4.1,0,1
104,113.0,140.0,19.0,0.0,0,1
105,25.99,45.92,43.0,4.4,0,0
106,130.0,150.0,13.0,4.7,0,1
107,50.0,74.5,33.0,3.2,0,1
108,217.0,354.62,39.0,4.3,0,0
109,97.5,119.99,19.0,4.9,0,0
110,249.0,299.0,17.0,5.0,0,0
111,175.0,390.0,55.0,4.1,0,0
112,36.7,55.0,33.0,3.6,0,0
113,78.0,120.0,35.0,5.0,0,1
114,109.0,152.0,28.0,3.9,0,1
115,55.0,89.0,38.0,4.5,0,0
116,309.0,499.0,38.0,4.0,0,0
117,179.99,364.80142676767673,42.066287878787875,4.2,0,0
118,21.9,50.0,56.0,4.5,0,0
119,185.0,249.0,26.0,4.6,0,0
120,35.0,39.0,10.0,4.8,0,1
121,32.0,40.0,20.0,4.6,0,1
122,34.0,50.66,33.0,3.7,0,1
123,85.0,364.80142676767673,42.066287878787875,3.9,0,0
124,99.62,157.99,37.0,3.3,0,0
125,49.0,186.0,74.0,4.2,0,1
126,99.0,112.0,12.0,4.1,0,1
127,120.0,300.0,60.0,2.0,0,1
128,39.0,364.80142676767673,42.066287878787875,4.0,0,0
129,69.0,70.0,1.0,4.2,0,1
130,65.0,89.0,27.0,3.9,0,0
131,45.5,120.0,62.0,3.6,0,1
132,108.0,114.0,5.0,3.5,0,1
133,75.0,117.5,36.0,4.2,0,1
134,313.0,364.80142676767673,42.066287878787875,4.3,0,0
135,99.0,128.0,23.0,0.0,0,1
136,187.0,375.0,50.0,4.3,0,0
137,65.0,79.6,18.0,4.3,0,1
138,21.0,79.0,73.0,1.5,0,1
139,105.0,192.82,46.0,4.3,0,0
140,67.0,75.0,11.0,5.0,0,1
141,142.56,249.0,43.0,3.8,0,0
142,51.0,196.0,74.0,4.0,0,1
143,370.0,500.0,26.0,4.0,0,0
157,120.0,152.0,21.0,4.2,0,1
159,59.0,102.81,43.0,4.2,0,0
160,212.0,315.88,33.0,4.5,0,1
161,159.0,189.0,16.0,4.3,0,1
162,324.0,550.0,41.0,3.8,0,0
163,149.0,364.80142676767673,42.066287878787875,3.4,0,0
164,159.0,364.80142676767673,42.066287878787875,4.0,0,0
165,289.0,400.0,28.0,5.0,0,1
166,25.99,31.35,17.0,4.2,0,0
167,105.0,146.0,28.0,3.7,0,1
168,169.0,203.0,17.0,4.3,0,1
169,360.0,569.0,37.0,4.5,0,1
170,58.0,364.80142676767673,42.066287878787875,4.5,0,0
171,168.0,232.0,28.0,4.5,0,1
172,89.0,170.0,48.0,5.0,0,1
173,122.0,300.0,59.0,4.2,0,0
174,82.0,364.80142676767673,42.066287878787875,3.8,0,0
176,44.0,45.0,2.0,0.0,0,1
177,128.0,297.0,57.0,3.0,0,0
178,248.0,315.0,21.0,3.9,0,0
179,72.0,344.0,79.0,4.3,0,0
180,47.5,364.80142676767673,42.066287878787875,4.0,0,0
181,175.99,190.0,7.0,4.0,0,0
182,55.0,81.95,33.0,4.2,0,1
183,120.0,229.96,48.0,4.2,0,0
184,29.0,111.0,74.0,3.9,0,1
185,59.0,75.0,21.0,3.2,0,0
186,49.0,58.11,16.0,4.2,0,0
187,89.21,163.9,46.0,3.8,0,0
188,169.0,299.0,43.0,4.4,0,0
189,273.0,423.16,35.0,4.3,0,0
190,25.3,364.80142676767673,42.066287878787875,4.3,0,0
191,238.0,385.91,38.0,4.1,0,0
192,45.0,80.0,44.0,3.7,0,0
193,99.0,364.80142676767673,42.066287878787875,0.0,0,0
195,137.0,299.0,54.0,4.2,0,0
208,132.0,450.0,71.0,0.0,0,0
209,122.0,259.0,53.0,4.3,0,0
210,69.99,149.0,53.0,4.7,0,0
211,189.0,240.0,21.0,4.3,0,0
212,62.0,119.0,48.0,3.8,0,1
213,215.0,399.0,46.0,3.5,0,0
214,128.0,224.99,43.0,4.3,0,0
215,105.0,192.82,46.0,4.1,0,0
216,42.0,364.80142676767673,42.066287878787875,4.0,0,1
217,99.0,100.0,1.0,4.0,0,1
218,249.0,250.0,1.0,4.7,0,1
219,99.0,199.0,50.0,5.0,0,0
220,42.0,364.80142676767673,42.066287878787875,5.0,0,1
221,27.0,364.80142676767673,42.066287878787875,4.4,0,1
222,360.0,500.0,28.0,5.0,0,0
223,49.0,73.01,33.0,4.0,0,1
224,219.0,399.0,45.0,4.3,0,0
225,129.0,230.0,44.0,5.0,0,0
226,89.0,117.71,24.0,3.9,0,0
227,48.0,98.0,51.0,3.8,0,0
228,113.0,140.0,19.0,5.0,0,1
229,153.0,200.0,24.0,3.8,0,0
230,149.0,250.0,40.0,3.8,0,0
231,55.0,99.0,44.0,3.9,0,0
232,199.99,349.99,43.0,5.0,0,0
233,212.0,371.01,43.0,4.6,0,0
234,152.0,155.0,2.0,3.8,0,0
235,31.0,38.0,18.0,4.6,0,1
236,35.0,38.0,8.0,4.4,0,1
237,44.0,51.0,14.0,0.0,0,1
238,96.0,130.0,26.0,4.0,0,1
240,40.0,43.0,7.0,4.3,0,1
241,105.0,188.45,44.0,4.3,0,0
242,68.0,200.0,66.0,3.0,0,0
243,105.0,149.0,30.0,3.0,0,0
244,134.0,207.0,35.0,5.0,0,1
245,192.0,336.74,43.0,4.2,0,1
246,39.99,364.80142676767673,42.066287878787875,3.8,0,0
247,109.0,149.0,27.0,0.0,0,0
260,89.21,192.92,54.0,4.2,0,0
261,132.0,450.0,71.0,5.0,0,0
262,51.0,75.0,32.0,4.4,0,1
263,99.0,128.0,23.0,5.0,0,1
264,149.99,270.0,44.0,4.0,0,0
265,79.0,130.0,39.0,4.2,0,0
267,311.0,473.82,34.0,4.6,0,0
268,101.0,120.0,16.0,3.9,0,1
269,336.0,536.4,37.0,4.4,0,1
270,119.0,364.80142676767673,42.066287878787875,5.0,0,0
271,156.0,189.0,17.0,3.4,0,1
272,185.0,364.80142676767673,42.066287878787875,4.4,0,0
273,40.0,364.80142676767673,42.066287878787875,1.0,0,1
274,110.99,134.0,17.0,3.8,0,0
276,125.0,243.0,49.0,4.1,0,1
277,33.0,42.0,21.0,4.4,0,1
278,96.0,148.0,35.0,4.4,0,1
279,73.0,111.0,34.0,4.0,0,0
280,104.0,199.0,48.0,0.0,0,0
281,65.0,79.6,18.0,2.5,0,1
282,35.0,40.0,13.0,4.3,0,0
285,70.0,364.80142676767673,42.066287878787875,0.0,0,1
286,139.0,149.0,7.0,4.7,0,0
287,99.0,159.0,38.0,0.0,0,0
288,89.0,111.0,20.0,3.9,0,1
289,189.0,249.0,24.0,4.0,0,1
290,169.0,270.0,37.0,4.2,0,1
291,69.0,79.0,13.0,4.6,0,0
292,93.0,167.0,44.0,3.9,0,1
293,275.0,399.0,31.0,4.2,0,0
294,31.0,39.0,21.0,3.4,0,1
295,157.0,190.0,17.0,4.2,0,0
296,98.0,364.80142676767673,42.066287878787875,4.8,0,0
297,120.0,320.0,63.0,4.3,0,0
298,105.0,192.82,46.0,3.7,0,0
299,26.0,29.0,10.0,5.0,0,1
313,199.0,349.0,43.0,5.0,0,1
314,121.0,148.0,18.0,4.3,0,1
315,190.0,223.0,15.0,4.3,0,0
316,364.0,436.0,17.0,4.3,0,0
317,40.0,364.80142676767673,42.066287878787875,4.3,0,1
318,169.99,364.80142676767673,42.066287878787875,3.6,0,0
319,32.0,99.0,68.0,3.6,0,0
320,149.0,364.80142676767673,42.066287878787875,4.5,0,0
321,99.0,100.0,1.0,5.0,0,1
322,34.95,49.0,29.0,4.3,0,0
323,32.3,38.0,15.0,3.9,0,1
324,75.0,149.0,50.0,3.7,0,0
325,139.0,450.0,69.0,5.0,0,0
326,105.0,187.74,44.0,4.3,0,0
327,79.0,299.0,74.0,3.7,0,0
328,35.0,39.0,10.0,3.0,0,1
329,23.2,29.0,20.0,5.0,0,1
330,103.0,127.0,19.0,4.4,0,1
331,99.0,364.80142676767673,42.066287878787875,0.0,0,0
332,43.0,364.80142676767673,42.066287878787875,5.0,0,0
333,176.0,178.51,1.0,5.0,0,1
334,69.99,364.80142676767673,42.066287878787875,0.0,0,0
335,110.0,269.99,59.0,5.0,0,1
336,295.0,499.0,41.0,5.0,0,0
337,24.0,364.80142676767673,42.066287878787875,3.5,0,0
338,152.0,244.36,38.0,3.7,0,0
339,44.0,49.0,10.0,0.0,0,1
340,144.0,145.5,1.0,5.0,0,1
341,149.0,150.0,1.0,4.3,0,0
342,62.0,90.5,31.0,4.1,0,1
344,199.0,220.0,10.0,4.3,0,0
345,33.0,364.80142676767673,42.066287878787875,4.1,0,0
346,29.0,38.0,24.0,4.3,0,1
347,207.0,299.0,31.0,4.0,0,1
348,45.0,167.0,73.0,4.2,0,1
349,115.0,145.0,21.0,5.0,0,1
350,119.99,149.99,20.0,3.8,0,0
351,55.0,81.0,32.0,4.5,0,1
364,80.0,160.0,50.0,4.1,0,1
365,248.0,432.1,43.0,4.2,0,0
366,299.0,364.80142676767673,42.066287878787875,4.2,0,0
367,49.99,364.80142676767673,42.066287878787875,3.9,0,0
368,121.0,140.0,14.0,0.0,0,1
369,63.0,72.0,13.0,4.4,0,1
370,109.0,162.41,33.0,4.2,0,0
371,292.0,451.47,35.0,3.7,0,0
372,378.0,499.0,24.0,4.7,0,0
373,225.0,349.0,36.0,4.0,0,0
374,119.0,150.0,21.0,3.6,0,0
375,189.0,350.0,46.0,4.0,0,0
377,175.0,249.0,30.0,0.0,0,1
378,34.99,99.99,65.0,0.0,0,0
379,199.0,364.80142676767673,42.066287878787875,5.0,0,1
380,109.0,186.25,41.0,4.2,0,0
381,77.0,81.0,5.0,3.7,0,1
382,59.0,364.80142676767673,42.066287878787875,4.5,0,0
383,20.0,364.80142676767673,42.066287878787875,5.0,0,1
384,149.0,364.80142676767673,42.066287878787875,3.3,0,0
385,214.0,381.44,44.0,3.8,0,0
386,269.0,300.0,10.0,0.0,0,0
387,39.0,364.80142676767673,42.066287878787875,3.7,0,0
388,25.0,364.80142676767673,42.066287878787875,3.7,0,0
389,159.0,229.0,31.0,4.8,0,0
390,106.0,130.0,18.0,4.5,0,1
391,81.0,364.80142676767673,42.066287878787875,4.1,0,1
392,75.0,99.0,24.0,3.7,0,0
393,139.0,259.0,46.0,3.8,0,0
394,232.0,299.0,22.0,5.0,0,0
395,45.0,364.80142676767673,42.066287878787875,0.0,0,0
397,192.0,338.23,43.0,4.7,0,1
398,219.0,299.0,27.0,5.0,0,0
399,122.0,149.0,18.0,4.2,0,1
400,170.0,309.92,45.0,4.4,0,0
401,25.79,364.80142676767673,42.066287878787875,3.1,0,0
402,80.0,100.0,20.0,4.3,0,1
403,72.0,100.0,28.0,3.7,0,0
416,85.0,240.0,65.0,4.7,3,1
417,99.0,249.0,60.0,4.3,3,1
418,81.0,230.0,65.0,5.0,3,1
419,159.0,259.0,39.0,3.7,3,1
420,69.0,180.0,62.0,4.3,3,1
421,75.0,195.0,62.0,4.3,3,1
422,85.0,230.0,63.0,4.0,3,1
423,99.0,199.0,50.0,4.1,3,0
424,79.0,210.0,62.0,4.5,3,1
425,57.0,170.0,66.0,5.0,3,1
426,71.0,195.0,64.0,4.3,3,1
427,79.0,140.0,44.0,0.0,3,1
428,89.0,230.0,61.0,4.2,3,1
429,70.0,210.0,67.0,4.0,3,1
430,76.0,230.0,67.0,4.0,3,1
431,76.0,230.0,67.0,3.0,3,1
432,70.0,210.0,67.0,4.0,3,1
433,74.0,230.0,68.0,0.0,3,1
434,69.0,195.0,65.0,5.0,3,1
435,83.0,260.0,68.0,2.0,3,1
436,99.0,260.0,62.0,4.2,3,1
437,60.0,170.0,65.0,2.5,3,1
438,85.0,210.0,60.0,1.0,3,1
439,99.0,150.0,34.0,3.8,3,1
440,79.0,180.0,56.0,1.7,3,1
441,89.0,240.0,63.0,4.0,3,1
442,76.0,210.0,64.0,0.0,3,1
443,85.0,210.0,60.0,5.0,3,1
444,64.0,170.0,62.0,4.0,3,1
445,84.0,260.0,68.0,4.5,3,1
446,99.0,199.0,50.0,3.9,3,0
447,99.0,150.0,34.0,4.1,3,1
448,119.0,170.0,30.0,4.2,3,1
449,159.0,399.0,60.0,3.5,3,1
450,99.0,150.0,34.0,5.0,3,1
451,59.0,99.0,40.0,3.8,3,0
452,59.0,79.0,25.0,3.7,3,1
453,86.0,230.0,63.0,3.0,3,1
454,59.0,79.0,25.0,4.5,3,1
455,81.0,230.0,65.0,1.0,3,1
456,119.0,299.0,60.0,0.0,3,1
457,99.0,249.0,60.0,0.0,3,1
458,99.0,150.0,34.0,0.0,3,1
459,99.0,150.0,34.0,0.0,3,1
460,139.0,349.0,60.0,0.0,3,1
461,99.0,249.0,60.0,0.0,3,1
462,99.0,150.0,34.0,0.0,3,1
463,99.0,150.0,34.0,0.0,3,1
464,99.0,150.0,34.0,0.0,3,1
465,99.0,149.0,34.0,0.0,3,1
466,79.0,199.0,60.0,0.0,3,1
467,99.0,150.0,34.0,0.0,3,1
468,79.0,230.0,66.0,3.0,3,1
469,119.0,129.0,8.0,4.5,3,1
470,89.0,240.0,63.0,3.5,3,1
471,74.0,210.0,65.0,0.0,3,1
472,78.0,210.0,63.0,4.0,3,1
473,44.0,110.0,60.0,3.5,3,1
474,149.0,435.0,66.0,3.0,3,1
475,63.0,115.0,45.0,4.2,3,1
476,92.0,315.0,71.0,0.0,3,1
477,59.0,79.0,25.0,4.7,3,1
478,44.0,120.0,63.0,5.0,3,1
479,69.0,180.0,62.0,0.0,3,1
480,99.0,499.0,80.0,3.5,3,0
481,125.0,219.0,43.0,3.7,3,1
482,89.0,230.0,61.0,0.0,3,1
483,75.0,300.0,75.0,4.0,3,0
484,80.0,240.0,67.0,0.0,3,1
485,69.0,140.0,51.0,5.0,3,1
486,159.0,259.0,39.0,1.0,3,1
487,99.0,249.0,60.0,3.6,3,1
488,59.0,79.0,25.0,4.0,3,1
489,99.0,249.0,60.0,4.7,3,1
490,73.0,195.0,63.0,4.3,3,1
491,89.0,230.0,61.0,3.0,3,1
492,69.0,120.0,43.0,3.7,3,1
493,70.0,180.0,61.0,0.0,3,1
494,169.0,189.0,14.0,3.7,3,0
495,83.0,330.0,75.0,4.0,3,1
496,89.0,149.0,40.0,5.0,3,1
497,99.0,129.0,23.0,3.0,3,1
498,44.0,110.0,60.0,3.0,3,1
499,79.0,300.0,74.0,3.6,3,0
500,59.0,79.0,25.0,5.0,3,1
501,75.0,180.0,58.0,5.0,3,1
502,75.0,120.0,38.0,4.2,3,1
503,73.0,195.0,63.0,0.0,3,1
504,69.0,140.0,51.0,3.8,3,1
505,83.0,230.0,64.0,1.0,3,1
506,259.0,480.0,46.0,3.8,3,1
507,129.0,199.0,35.0,4.5,3,0
520,59.0,99.0,40.0,3.6,3,0
521,380.0,364.80142676767673,42.066287878787875,5.0,3,1
522,35.0,364.80142676767673,42.066287878787875,0.0,3,0
523,124.0,240.0,48.0,4.0,3,1
524,139.0,199.0,30.0,2.0,3,1
525,49.0,100.0,51.0,4.0,3,1
526,69.0,139.0,50.0,0.0,3,1
527,79.0,229.0,66.0,5.0,3,1
528,159.0,259.0,39.0,0.0,3,1
529,75.0,300.0,75.0,3.3,3,0
530,380.0,364.80142676767673,42.066287878787875,0.0,3,1
531,75.0,199.0,62.0,4.3,3,1
532,94.0,199.0,53.0,4.4,3,1
533,380.0,364.80142676767673,42.066287878787875,5.0,3,1
534,59.0,79.0,25.0,5.0,3,1
535,75.92,79.95,5.0,3.6,3,0
536,59.0,79.0,25.0,5.0,3,1
537,59.0,79.0,25.0,4.5,3,1
538,59.0,79.0,25.0,5.0,3,1
539,99.0,150.0,34.0,3.8,3,1
540,254.0,557.0,54.0,2.5,3,1
541,159.0,364.80142676767673,42.066287878787875,2.5,3,0
542,99.0,129.0,23.0,4.0,3,1
543,49.0,80.0,39.0,3.6,3,1
544,99.0,199.0,50.0,3.4,3,0
545,99.0,200.0,51.0,4.2,3,1
546,69.0,99.0,30.0,0.0,3,1
547,69.0,149.0,54.0,5.0,3,0
549,93.0,240.0,61.0,0.0,3,1
550,99.0,149.0,34.0,4.0,3,1
551,68.0,210.0,68.0,5.0,3,1
552,139.0,240.0,42.0,3.8,3,1
553,99.0,149.0,34.0,2.0,3,1
554,119.0,299.0,60.0,4.3,3,1
556,39.0,79.0,51.0,4.7,3,1
557,179.0,249.0,28.0,4.8,3,1
558,189.0,249.0,24.0,4.5,3,0
559,119.0,249.0,52.0,5.0,3,1
572,99.0,199.0,50.0,3.6,3,0
573,69.0,100.0,31.0,0.0,3,1
574,199.0,299.0,33.0,4.3,3,0
575,99.0,129.0,23.0,0.0,3,1
576,89.0,150.0,41.0,4.0,3,1
577,179.0,199.0,20.0,4.5,3,0
578,109.0,349.0,69.0,4.0,3,1
579,99.0,150.0,34.0,4.5,3,1
580,139.0,349.0,60.0,4.0,3,1
581,199.0,364.80142676767673,42.066287878787875,4.3,3,1
582,125.0,249.0,50.0,4.4,3,1
583,85.0,210.0,60.0,1.0,3,1
584,129.0,299.0,57.0,3.6,3,0
585,199.0,629.0,68.0,5.0,3,1
586,179.0,364.80142676767673,42.066287878787875,4.8,3,1
587,99.0,179.0,45.0,0.0,3,1
588,99.0,150.0,34.0,4.0,3,1
589,129.0,199.0,35.0,2.5,3,0
590,129.0,190.0,32.0,3.0,3,1
591,249.0,349.0,29.0,5.0,3,1
592,129.0,149.0,13.0,5.0,3,0
593,95.0,100.0,5.0,3.0,3,0
594,119.0,169.0,30.0,4.2,3,1
595,89.0,119.0,25.0,3.5,3,0
596,249.0,349.0,29.0,5.0,3,1
598,241.0,549.0,56.0,4.0,3,1
599,79.0,364.80142676767673,42.066287878787875,0.0,3,0
600,79.0,119.0,34.0,3.9,3,1
601,74.0,120.0,38.0,4.4,3,1
602,99.0,499.0,80.0,3.6,3,0
603,69.0,149.0,54.0,0.0,3,1
604,159.0,329.0,52.0,0.0,3,0
606,205.0,449.0,54.0,3.7,3,1
607,129.0,190.0,32.0,4.0,3,1
608,99.0,249.0,60.0,0.0,3,1
609,94.0,199.0,53.0,0.0,3,1
610,89.0,179.0,50.0,0.0,3,1
611,163.0,240.0,32.0,4.2,3,1
625,74.0,149.0,50.0,0.0,3,1
626,69.0,259.0,73.0,4.4,3,0
627,139.0,199.0,30.0,5.0,3,1
629,175.0,299.0,41.0,0.0,3,0
630,89.0,179.0,50.0,0.0,3,1
631,49.0,99.0,51.0,5.0,3,1
632,179.0,499.0,64.0,3.0,3,1
633,199.0,259.0,23.0,5.0,3,0
634,99.0,150.0,34.0,4.2,3,1
635,55.0,199.0,72.0,0.0,3,0
636,35.0,69.0,49.0,4.1,3,1
637,76.0,364.80142676767673,42.066287878787875,0.0,3,0
638,99.0,199.0,50.0,0.0,3,0
639,69.99,100.0,30.0,5.0,3,0
640,99.0,249.0,60.0,3.5,3,1
641,99.0,149.0,34.0,0.0,3,1
642,75.0,364.80142676767673,42.066287878787875,4.0,3,0
643,99.0,199.0,50.0,2.5,3,0
644,149.0,379.0,61.0,3.0,3,1
645,99.0,150.0,34.0,4.0,3,1
646,89.0,240.0,63.0,0.0,3,1
647,109.0,149.0,27.0,5.0,3,1
648,209.5,349.0,40.0,0.0,3,1
649,99.0,249.0,60.0,0.0,3,1
650,199.0,499.0,60.0,5.0,3,1
651,179.0,364.80142676767673,42.066287878787875,5.0,3,1
652,140.0,219.0,36.0,4.5,3,1
653,169.0,349.0,52.0,4.0,3,1
654,79.0,199.0,60.0,3.3,3,0
655,249.0,399.0,38.0,3.4,3,0
656,45.0,364.80142676767673,42.066287878787875,4.3,3,0
657,299.0,645.0,63.0,4.3,3,1
658,235.0,310.0,24.0,0.0,3,1
659,49.0,99.0,51.0,3.5,3,0
660,215.0,329.0,35.0,3.5,3,1
661,35.0,364.80142676767673,42.066287878787875,0.0,3,0
662,87.99,119.0,26.0,3.0,3,0
663,89.0,179.0,50.0,5.0,3,1
676,139.0,199.0,30.0,5.0,3,1
677,270.0,479.0,44.0,5.0,3,1
678,99.0,249.0,60.0,1.0,3,1
679,119.0,169.0,30.0,3.0,3,1
680,209.5,349.0,40.0,0.0,3,1
681,199.0,219.0,9.0,4.5,3,0
682,99.0,249.0,60.0,0.0,3,1
683,99.0,229.0,57.0,5.0,3,1
684,169.0,249.0,32.0,5.0,3,1
685,169.0,249.0,32.0,4.3,3,1
686,123.0,199.0,38.0,0.0,3,1
687,73.0,364.80142676767673,42.066287878787875,2.0,3,0
688,129.0,229.0,44.0,3.7,3,1
689,309.0,679.0,55.0,4.3,3,1
